Status,Attackers,Defenders,Total
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
0,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
0,1,1,2
0,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
0,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,2,1,3
0,0,0,0
0,1,1,2
0,0,0,0
0,0,0,0
0,2,1,3
1,1,1,2
0,0,0,0
0,0,0,0
1,1,1,2
1,1,1,2
0,0,0,0
1,1,1,2
0,1,1,2
0,0,0,0
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,2
0,0,0,0
1,3,1,4
0,0,0,0
1,1,1,2
1,1,1,2
1,1,3,4
1,1,1,2
1,3,1,4
1,1,1,2
1,1,1,2
1,1,1,2
0,1,1,2
1,1,1,2
0,3,1,4
0,0,0,0
1,1,1,2
1,2,1,3
0,0,0,0
0,1,1,2
0,1,1,2
1,1,1,2
1,2,1,3
1,1,1,2
0,1,1,2
1,1,4,5
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
0,1,1,2
0,0,0,0
1,1,1,2
0,1,1,2
1,1,1,2
1,1,1,2
0,1,2,3
1,2,1,3
1,1,1,2
1,2,1,3
0,0,0,0
1,1,1,2
1,1,1,2
1,2,2,4
1,1,2,3
1,1,1,2
0,0,0,0
0,0,0,0
1,1,1,2
1,1,1,2
1,1,1,2
0,1,1,2
1,1,1,2
0,0,0,0
0,1,1,2
1,2,1,3
1,2,2,4
1,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
0,1,1,2
0,0,0,0
1,1,1,2
1,1,1,2
1,2,1,3
1,1,1,2
1,1,1,2
1,2,1,3
0,3,1,4
1,1,2,3
1,1,1,2
1,2,2,4
0,1,1,2
1,2,1,3
0,0,0,0
1,1,1,2
1,1,1,2
0,2,1,3
1,2,3,5
1,1,1,2
1,1,1,2
0,3,1,4
0,0,0,0
1,1,1,2
1,1,1,2
0,1,1,2
1,2,2,4
1,1,1,2
1,1,1,2
0,0,0,0
1,1,2,3
